image_width,image_height,tile_width,tile_height,image_date,imagery_type,projection_type,pano_yaw_deg,tilt_yaw_deg,tilt_pitch_deg,panoId,zoomLevels,lat,lng,original_lat,original_lng,elevation_wgs84_m,description,streetRange,region,country,elevation_egm96_m,links_cnt,link_forward_yawDeg,link_f_panoId,link_f_road_argb,link_f_description,link_backward_yawDeg,link_b_panoId,link_b_road_argb,link_b_description,link_others
16384,8192,512,512,2022-2,1,spherical,4.633149147033691,88.84972381591797,0.1366733014583588,IifZ85-OX2_fjJ36pQC0iw,,33.99038665864654,-81.00186320192586,,,,100 S Holly St,,Columbia; South Carolina,US,86.21382904052734,2,5.023958683013916,U-eKbhLDF2_WAgh5KjYaaw,,S Holly St,185.0331115722656,8CfyqhGJS5dz2LTeVF8-oA,,S Holly St
16384,8192,512,512,2021-12,1,spherical,3.819223642349243,89.54203796386719,0.6672192811965942,8CfyqhGJS5dz2LTeVF8-oA,,33.99031814590826,-81.00186741675213,,,,100 S Holly St,,Columbia; South Carolina,US,86.31429290771484,2,5.033116817474365,IifZ85-OX2_fjJ36pQC0iw,,S Holly St,185.0202331542969,8isCOY5txIZmjNij-Abj7g,,S Holly St
16384,8192,512,512,2022-2,1,spherical,4.640235424041748,88.99803161621094,0.8650256395339966,8isCOY5txIZmjNij-Abj7g,,33.99026166815492,-81.00187702655519,,,,100 S Holly St,,Columbia; South Carolina,US,85.99424743652344,2,5.020226955413818,8CfyqhGJS5dz2LTeVF8-oA,,S Holly St,185.0746154785156,CopnCkcP0Q_yZIbHcw_1ig,,S Holly St
16384,8192,512,512,2022-2,1,spherical,6.188760757446289,88.94649505615234,0.714093804359436,CopnCkcP0Q_yZIbHcw_1ig,,33.99017405226564,-81.00188756361861,,,,109 S Holly St,,Columbia; South Carolina,US,86.13611602783203,2,5.074618816375732,8isCOY5txIZmjNij-Abj7g,,S Holly St,185.0191345214844,CZOrT7h3-dt1mG6AB4b62Q,,S Holly St
16384,8192,512,512,2022-2,1,spherical,115.4353408813477,92.216796875,0.2656852900981903,lHc8dnEGx1fW8g9fSUTPYQ,,33.99059597727183,-81.00177452192892,,,,2901 Heyward St,,Columbia; South Carolina,US,85.98528289794922,2,109.2187423706055,fJH4GHwzmYz-0dQ9iIEWhw,,Heyward St,287.7064819335938,hJ4ZFA-gNteikPQTTA7C9A,,S Holly St
16384,8192,512,512,2022-2,1,spherical,100.8157730102539,92.78153991699219,359.8580627441406,fJH4GHwzmYz-0dQ9iIEWhw,,33.990573740473,-81.00165886687832,,,,2905 Heyward St,,Columbia; South Carolina,US,86.49976348876953,2,109.1706695556641,jLpgaiWtA8x0sTuU7sn5vA,,Heyward St,289.21875,lHc8dnEGx1fW8g9fSUTPYQ,,Heyward St
16384,8192,512,512,2022-2,1,spherical,113.6252517700195,91.22102355957031,0.294035017490387,jLpgaiWtA8x0sTuU7sn5vA,,33.99054411843649,-81.00155290579767,,,,2902 Heyward St,,Columbia; South Carolina,US,86.89793395996094,2,109.198844909668,0hGEr5NrV5PVdMKytvk_sg,,Heyward St,289.170654296875,fJH4GHwzmYz-0dQ9iIEWhw,,Heyward St
16384,8192,512,512,2022-2,1,spherical,120.3006134033203,90.37474060058594,1.17603862285614,0hGEr5NrV5PVdMKytvk_sg,,33.99049799163743,-81.00145419411409,,,,2906 Heyward St,,Columbia; South Carolina,US,87.10114288330078,2,109.207160949707,GuryJQqPw286ng0WjbrK1w,,Heyward St,289.1988525390625,jLpgaiWtA8x0sTuU7sn5vA,,Heyward St
16384,8192,512,512,2022-2,1,spherical,121.7759857177734,89.40442657470703,1.106879234313965,GuryJQqPw286ng0WjbrK1w,,33.99044914795412,-81.00135868559568,,,,2909 Heyward St,,Columbia; South Carolina,US,87.13622283935547,2,109.2338943481445,1bcmDHFZjjmHyEGjw3Ia8A,,Heyward St,289.2071533203125,0hGEr5NrV5PVdMKytvk_sg,,Heyward St
16384,8192,512,512,2022-2,1,spherical,5.430788040161133,89.74871063232422,357.611083984375,q5nbHFSOzpW9rMUJubBxfQ,,33.99059734323954,-81.00183909311527,,,,101 Holly St,,Columbia; South Carolina,US,85.77194213867188,2,4.915184497833252,lAw7a7N4_U0kv3VGGjpuCg,,Holly St,184.4906311035156,hJ4ZFA-gNteikPQTTA7C9A,,S Holly St
16384,8192,512,512,2022-2,1,spherical,3.734496593475342,91.12319946289062,1.591094613075256,lAw7a7N4_U0kv3VGGjpuCg,,33.99069813438486,-81.00182880893507,,,,100 Holly St,,Columbia; South Carolina,US,85.69898223876953,2,4.927007675170898,21nXy5yFNE0n-kGLgZrTQg,,Holly St,184.9151916503906,q5nbHFSOzpW9rMUJubBxfQ,,Holly St
16384,8192,512,512,2022-2,1,spherical,2.652544975280762,90.7230224609375,1.851296067237854,21nXy5yFNE0n-kGLgZrTQg,,33.99079367222467,-81.00182164372677,,,,100 Holly St,,Columbia; South Carolina,US,85.88285064697266,2,4.90261173248291,Ql8CF7lEqaZEGM_r2fa1Tg,,Holly St,184.927001953125,lAw7a7N4_U0kv3VGGjpuCg,,Holly St
