index,distance,root_cente,root_botto,azimuth_ra,altitude_r,depth_h_di,median_wid,median_w_1,median_row,median_r_1,panoID,depth_x,depth_y,pano_x,pano_y,pano_headi,thumbnail_,trunk_head,image_file,azimuth_de,Type,h_distance,vertex_ang,pano_hea_1,tri_x,tri_y,left_col,right_col,diameter,folder,geometry,ec5_uuid,field_diameter_m,mean_diameter,error,error_abs,error_%
0,12.614222222222221,383,509,-0.246816051964103,-0.232462151144539,12.274926502381545,19.0,447,374,392,o4tDKqKjg0BooIkcuDRITQ,608937.3859064704,239281.0893075757,608939.6273667901,239269.0207668075,93.62152099609375,3.62,-10.521518093624705,o4tDKqKjg0BooIkcuDRITQ_0.0_0.0_0_3.62_L90.jpg,-14.141518093624704,trunk,9.846015089151498,74.77119532658986,1.634003792106837,608937.8294373177,239278.70123491331,373.5,392.5,0.3435238963582,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\o4tDKqKjg0BooIkcuDRITQ_0.0_0.0_0_3.62_L90_annotated.jpg,POINT (608937.8294373177 239278.70123491331),82ca94a1-479b-432d-928b-b2eb0ac4ae93,0.412338974850315,0.33775036919070045,-0.07458860565961456,0.07458860565961456,0.18089147572501799
0,14.965555555555557,436,477,-0.147361481088652,-0.177775205402187,14.729691839360477,15.0,431,429,443,nG3H60GZDGcFBChOmtPmHw,608939.7217132343,239280.8320464766,608929.9409757762,239269.81837331745,95.04698944091797,50.05,41.60680907082337,nG3H60GZDGcFBChOmtPmHw_0.0_0.0_0_50.05_L45.jpg,-8.443190929176632,trunk,11.87994341834531,53.100477508962065,1.658882909852303,608937.8294373177,239278.70123491331,428.5,443.5,0.340508392048274,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\nG3H60GZDGcFBChOmtPmHw_0.0_0.0_0_50.05_L45_annotated.jpg,POINT (608937.8294373177 239278.70123491331),82ca94a1-479b-432d-928b-b2eb0ac4ae93,0.412338974850315,0.33775036919070045,-0.07458860565961456,0.07458860565961456,0.18089147572501799
0,14.965555555555557,436,477,-0.147361481088652,-0.177775205402187,14.729691839360477,15.0,431,429,443,nG3H60GZDGcFBChOmtPmHw,608939.7217132343,239280.8320464766,608929.9409757762,239269.81837331745,95.04698944091797,50.05,41.60680907082337,nG3H60GZDGcFBChOmtPmHw_0.0_0.0_0_50.05_L45.jpg,-8.443190929176632,trunk,11.899301320577797,53.100477508962065,1.658882909852303,608937.8422912566,239278.71570918817,428.5,443.5,0.341063237128801,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\nG3H60GZDGcFBChOmtPmHw_0.0_0.0_0_50.05_L45_annotated.jpg,POINT (608937.8422912566 239278.71570918817),82ca94a1-479b-432d-928b-b2eb0ac4ae93,0.412338974850315,0.33775036919070045,-0.07458860565961456,0.07458860565961456,0.18089147572501799
0,10.437974683544308,193,527,-0.557193587926504,-0.23275485299057,10.156511111361619,33.0,456,177,209,ykx80oWPZZxJRj3fO4aDSQ,608961.8928058238,239278.02521862983,608959.0158230851,239268.28470076495,93.38347625732422,48.38,16.45515904005979,ykx80oWPZZxJRj3fO4aDSQ_0.0_0.0_0_48.38_L45.jpg,-31.92484095994021,trunk,9.308567254339065,78.02417240021597,1.629849127648259,608961.6526131225,239277.21200509646,176.5,209.5,0.432167886192011,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\ykx80oWPZZxJRj3fO4aDSQ_0.0_0.0_0_48.38_L45_annotated.jpg,POINT (608961.6526131225 239277.21200509646),97feed67-5735-43ee-9e07-3e708c1454d6,0.509359910109212,0.45546981300170414,-0.05389009710750786,0.05389009710750786,0.10579964390199706
0,10.437974683544308,193,527,-0.557193587926504,-0.23275485299057,10.156511111361619,33.0,456,177,209,ykx80oWPZZxJRj3fO4aDSQ,608961.8928058238,239278.02521862983,608959.0158230851,239268.28470076495,93.38347625732422,48.38,16.45515904005979,ykx80oWPZZxJRj3fO4aDSQ_0.0_0.0_0_48.38_L45.jpg,-31.92484095994021,trunk,9.321979406143663,78.02417240021597,1.629849127648259,608961.6564123138,239277.22486790956,176.5,209.5,0.432790570772388,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\ykx80oWPZZxJRj3fO4aDSQ_0.0_0.0_0_48.38_L45_annotated.jpg,POINT (608961.6564123138 239277.22486790956),97feed67-5735-43ee-9e07-3e708c1454d6,0.509359910109212,0.45546981300170414,-0.05389009710750786,0.05389009710750786,0.10579964390199706
0,12.146753246753246,632,507,0.230219587276844,-0.229765581493369,11.827534268440868,25.0,446,620,644,ykx80oWPZZxJRj3fO4aDSQ,608962.3889976321,239279.62102558152,608959.0158230851,239268.28470076495,93.38347625732422,3.38,16.57061071220685,ykx80oWPZZxJRj3fO4aDSQ_0.0_0.0_0_3.38_L90.jpg,13.190610712206848,trunk,9.307312429398621,77.90872072806891,1.629849127648259,608961.6702385088,239277.20547110256,619.5,644.5,0.430691712757933,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\ykx80oWPZZxJRj3fO4aDSQ_0.0_0.0_0_3.38_L90_annotated.jpg,POINT (608961.6702385088 239277.20547110256),97feed67-5735-43ee-9e07-3e708c1454d6,0.509359910109212,0.45546981300170414,-0.05389009710750786,0.05389009710750786,0.10579964390199706
1,12.373501577287067,92,509,-0.687004478341245,-0.186562133484141,12.158792895533194,34.0,448,75,108,c_EHRnqMlsR0KzHFaBKF2g,608961.4958484697,239277.43151789665,608968.5621017378,239267.53685724418,93.82794952392578,3.83,-35.53245711554011,c_EHRnqMlsR0KzHFaBKF2g_0.0_0.0_0_3.83_L90.jpg,-39.36245711554011,trunk,11.889050377916062,49.98821144418412,1.637606649587551,608961.6526131225,239277.21200509646,75.0,109.0,0.47196782712726,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\c_EHRnqMlsR0KzHFaBKF2g_0.0_0.0_0_3.83_L90_annotated.jpg,POINT (608961.6526131225 239277.21200509646),97feed67-5735-43ee-9e07-3e708c1454d6,0.509359910109212,0.45546981300170414,-0.05389009710750786,0.05389009710750786,0.10579964390199706
0,14.193170731707317,563,480,0.099281880125996,-0.184455834433404,13.95240065701053,21.0,433,553,573,c_EHRnqMlsR0KzHFaBKF2g,608960.4635561345,239278.89832912083,608968.5621017378,239267.53685724418,93.82794952392578,318.83,324.5184327133434,c_EHRnqMlsR0KzHFaBKF2g_0.0_0.0_0_318.83_L135.jpg,5.688432713343358,trunk,11.873494544944181,50.039101273067615,1.637606649587551,608961.6702385088,239277.20547110256,552.5,573.5,0.48211683830803,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\c_EHRnqMlsR0KzHFaBKF2g_0.0_0.0_0_318.83_L135_annotated.jpg,POINT (608961.6702385088 239277.20547110256),97feed67-5735-43ee-9e07-3e708c1454d6,0.509359910109212,0.45546981300170414,-0.05389009710750786,0.05389009710750786,0.10579964390199706
0,14.193170731707317,563,480,0.099281880125996,-0.184455834433404,13.95240065701053,21.0,433,553,573,c_EHRnqMlsR0KzHFaBKF2g,608960.4635561345,239278.89832912083,608968.5621017378,239267.53685724418,93.82794952392578,318.83,324.5184327133434,c_EHRnqMlsR0KzHFaBKF2g_0.0_0.0_0_318.83_L135.jpg,5.688432713343358,trunk,11.89731470008361,50.039101273067615,1.637606649587551,608961.6564123138,239277.22486790956,552.5,573.5,0.483084042852603,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\c_EHRnqMlsR0KzHFaBKF2g_0.0_0.0_0_318.83_L135_annotated.jpg,POINT (608961.6564123138 239277.22486790956),97feed67-5735-43ee-9e07-3e708c1454d6,0.509359910109212,0.45546981300170414,-0.05389009710750786,0.05389009710750786,0.10579964390199706
2,10.58051948051948,212,528,-0.530015251423793,-0.238060777794428,10.28211821513175,17.0,460,207,223,AeCT6wRpAcZl8vKrOetdiA,609004.8988765366,239274.25366106175,609001.3278794942,239264.61156921857,95.68699645996094,50.69,20.322363015851458,AeCT6wRpAcZl8vKrOetdiA_0.0_0.0_0_50.69_L45.jpg,-30.367636984148536,trunk,9.922424046700417,85.41771432052542,1.670053139570477,609004.7739541437,239273.9163566139,203.5,220.5,0.245248283245624,D:\OneDrive_PSU\OneDrive - The Pennsylvania State University\Research_doc\street_image_mapping\Heyward_st_pano_thumnail_segmented\AeCT6wRpAcZl8vKrOetdiA_0.0_0.0_0_50.69_L45_annotated.jpg,POINT (609004.7739541437 239273.9163566139),1d09276f-89d4-48d4-b978-2cdbd9a20d79,0.226382182270761,0.24316994018287802,0.016787757912117007,0.016787757912117007,0.07415671031935836
