index,distance,root_center_col,root_bottom_row,azimuth_rad,altitude_rad,depth_h_distance,median_wid,median_wid_row,median_row_start_col,median_row_end_col,panoID,depth_x,depth_y,pano_x,pano_y,pano_heading_deg,thumbnail_heading_deg,trunk_heading_deg,image_file,azimuth_deg,geometry,Type,h_distance_to_camera,vertex_angle_deg,pano_heading_rad,tri_x,tri_y,left_col,right_col,diameter
0,26.39375,331,429,-0.3398033396394651,-0.08267616940565913,26.303596124151824,19.0,407,322,340,lry5yW3Iu9et_r3VogtYsg,608691.3402449482,239299.75769467972,608666.5529476317,239290.95604365232,179.9167938232422,89.92,70.45070277420818,lry5yW3Iu9et_r3VogtYsg_0.0_0.0_0_89.92_L90.jpg,-19.469297225791816,POINT (608691.3402449482 239299.75769467972),trunk,25.393298628880647,142.38867046653712,3.140140431847373,608690.4824225213,239299.45309294973,321.5,340.5,0.8375606005790257
0,12.084000000000001,1003,522,0.764464033541195,-0.192135372752872,11.861638840719337,39.0,455,985,1023,Q1nm7SSKRmPKA1mtQBeEOQ,609189.297976514,239258.51987446088,609180.5693829647,239250.48805457746,93.58373260498047,3.58,47.38056271145788,Q1nm7SSKRmPKA1mtQBeEOQ_0.0_0.0_0_3.58_L90.jpg,43.80056271145788,POINT (609189.297976514 239258.51987446088),trunk,12.18005067308473,47.61848332147495,1.6333442602628792,609189.5322854071,239258.7354792791,983.5,1022.5,0.4833849396762717
1,12.90344827586207,615,497,0.19852210837819023,-0.21308365677274063,12.611616753356422,41.0,442,595,635,Pa0i4gXhjfPGumg0GZ5NEw,609188.6561116533,239260.3636961029,609194.6323241607,239249.25794258495,95.33656311035156,320.34,331.714478950109,Pa0i4gXhjfPGumg0GZ5NEw_0.0_0.0_0_320.34_L135.jpg,11.37447895010902,POINT (609188.6561116533 239260.3636961029),trunk,10.762625008698663,56.7154329171762,1.6639369238110007,609189.5322854071,239258.7354792791,594.5,635.5,0.8277651131416368
0,14.070098039215686,506,485,-0.011718213602394128,-0.19475193941726163,13.804112758084184,31.0,435,491,521,Q1nm7SSKRmPKA1mtQBeEOQ,609190.813089453,239259.74116251047,609180.5693829647,239250.48805457746,93.58373260498047,48.58,47.90859581715002,Q1nm7SSKRmPKA1mtQBeEOQ_0.0_0.0_0_48.58_L45.jpg,-0.671404182849976,POINT (609190.813089453 239259.74116251047),trunk,12.151950276104786,47.0904502157828,1.6333442602628792,609189.5870586437,239258.6336927269,490.5,521.5,0.7353248930249259
1,12.90344827586207,615,497,0.19852210837819023,-0.21308365677274063,12.611616753356422,41.0,442,595,635,Pa0i4gXhjfPGumg0GZ5NEw,609188.6561116533,239260.3636961029,609194.6323241607,239249.25794258495,95.33656311035156,320.34,331.714478950109,Pa0i4gXhjfPGumg0GZ5NEw_0.0_0.0_0_320.34_L135.jpg,11.37447895010902,POINT (609188.6561116533 239260.3636961029),trunk,10.647036905193225,56.7154329171762,1.6639369238110007,609189.5870586437,239258.6336927269,594.5,635.5,0.8188751072649408
0,14.070098039215686,506,485,-0.011718213602394128,-0.19475193941726163,13.804112758084184,31.0,435,491,521,Q1nm7SSKRmPKA1mtQBeEOQ,609190.813089453,239259.74116251047,609180.5693829647,239250.48805457746,93.58373260498047,48.58,47.90859581715002,Q1nm7SSKRmPKA1mtQBeEOQ_0.0_0.0_0_48.58_L45.jpg,-0.671404182849976,POINT (609190.813089453 239259.74116251047),trunk,12.11495865972058,47.0904502157828,1.6333442602628792,609189.5596080377,239258.6088966806,490.5,521.5,0.7330864987143416
0,11.183464566929132,169,514,-0.590252824772067,-0.20789740462252054,10.94265168794434,55.0,450,143,197,Pa0i4gXhjfPGumg0GZ5NEw,609189.4144677831,239258.8764456279,609194.6323241607,239249.25794258495,95.33656311035156,5.34,-28.478995705114368,Pa0i4gXhjfPGumg0GZ5NEw_0.0_0.0_0_5.34_L90.jpg,-33.81899570511437,POINT (609189.4144677831 239258.8764456279),trunk,10.638270130195588,56.52195826195282,1.6639369238110007,609189.5596080377,239258.6088966806,141.5,196.5,0.7887251632454638
0,5.909629629629629,868,662,0.6075730583890224,-0.41935308786162845,5.397575199698813,110.0,525,811,920,R-W7ERvp6zToS_CGhfHnaA,609277.5601656114,239237.04094748365,609276.9548875135,239242.40447770734,93.7459945678711,138.75,173.5613719915465,R-W7ERvp6zToS_CGhfHnaA_0.0_0.0_0_138.75_R45.jpg,34.81137199154652,POINT (609277.5601656114 239237.04094748365),trunk,5.060066824617383,81.40795825921921,1.6361762657660692,609277.5223177965,239237.376327039,813.0,923.0,0.7327544910982969
0,10.842276422764227,634,501,0.2339192062147334,-0.21873553418509945,10.583933306336343,41.0,447,613,653,JQxp623YuaK49p8BHzwuJg,609277.170844451,239237.19524880167,609286.5795151943,239242.04257374187,94.3416748046875,229.34,242.74258326315464,JQxp623YuaK49p8BHzwuJg_0.0_0.0_0_229.34_R135.jpg,13.4025832631546,POINT (609277.170844451 239237.19524880167),trunk,10.188556472551914,29.41083046917265,1.6465728471875754,609277.5223177965,239237.376327039,613.5,654.5,0.7715545124804204
0,6.620967741935483,414,618,-0.18911884892608394,-0.4219242277390068,6.040326260256937,77.0,503,377,453,R-W7ERvp6zToS_CGhfHnaA,609277.6999859808,239236.41028304878,609276.9548875135,239242.40447770734,93.7459945678711,183.75,172.9142881301632,R-W7ERvp6zToS_CGhfHnaA_0.0_0.0_0_183.75_R90.jpg,-10.835711869836832,POINT (609277.6999859808 239236.41028304878),trunk,5.038750569883621,80.76087439783589,1.6361762657660692,609277.5764376028,239237.40420943534,375.5,452.5,0.7292231844197956
